#log(n_H [cm^-3]) log(T [K])
# lower section (log n = [-13.4, -8.2]): calculated by log(T) = 4 + 0.54*(log(n) + 6)
-13.4, 0.0
-13.2, 0.11
-13.0, 0.22
-12.8, 0.33
-12.6, 0.44
-12.4, 0.54
-12.2, 0.65
-12.0, 0.76
-11.8, 0.87
-11.6, 0.98
-11.4, 1.08
-11.2, 1.19
-11.0, 1.3
-10.8, 1.41
-10.6, 1.52
-10.4, 1.62
-10.2, 1.73
-10.0, 1.84
-9.8, 1.95
-9.6, 2.06
-9.4, 2.16
-9.2, 2.27
-9.0, 2.38
-8.8, 2.49
-8.6, 2.6
-8.4, 2.7
-8.2, 2.81
# Section from paper (log n = [-8, 0])
-8, 2.91
-7.8, 3.02
-7.6, 3.13
-7.4, 3.24
-7.2, 3.36
-7, 3.47
-6.8, 3.59
-6.6, 3.7
-6.4, 3.81
-6.2, 3.93
-6, 4.04
-5.8, 4.15
-5.6, 4.25
-5.4, 4.35
-5.2, 4.44
-5, 4.51
-4.8, 4.54
-4.6, 4.54
-4.4, 4.51
-4.2, 4.49
-4, 4.43
-3.8, 4.38
-3.6, 4.32
-3.4, 4.28
-3.2, 4.24
-3, 4.2
-2.8, 4.17
-2.6, 4.14
-2.4, 4.12
-2.2, 4.1
-2, 4.08
-1.8, 4.06
-1.6, 4.04
-1.4, 4.03
-1.2, 4.01
-1, 4
-0.8, 3.99
-0.6, 3.97
-0.4, 3.96
-0.2, 3.95
0, 3.94
# upper section (log n = [0.2, 10.0]): isothermal ( log(T) = 3.94)
0.2, 3.94
0.4, 3.94
0.6, 3.94
0.8, 3.94
1.0, 3.94
1.2, 3.94
1.4, 3.94
1.6, 3.94
1.8, 3.94
2.0, 3.94
2.2, 3.94
2.4, 3.94
2.6, 3.94
2.8, 3.94
3.0, 3.94
3.2, 3.94
3.4, 3.94
3.6, 3.94
3.8, 3.94
4.0, 3.94
4.2, 3.94
4.4, 3.94
4.6, 3.94
4.8, 3.94
5.0, 3.94
5.2, 3.94
5.4, 3.94
5.6, 3.94
5.8, 3.94
6.0, 3.94
6.2, 3.94
6.4, 3.94
6.6, 3.94
6.8, 3.94
7.0, 3.94
7.2, 3.94
7.4, 3.94
7.6, 3.94
7.8, 3.94
8.0, 3.94
8.2, 3.94
8.4, 3.94
8.6, 3.94
8.8, 3.94
9.0, 3.94
9.2, 3.94
9.4, 3.94
9.6, 3.94
9.8, 3.94
10.0, 3.94
